구,동,인구,남자,여자
종로구,사직동,9700,4375,5325
종로구,삼청동,3013,1443,1570
종로구,부암동,10525,5002,5523
종로구,평창동,18830,8817,10013
종로구,무악동,8745,4078,4667
종로구,교남동,10779,5021,5758
종로구,가회동,4487,2090,2397
종로구,종로1.2.3.4가동,8630,4955,3675
종로구,종로5.6가동,5717,3142,2575
종로구,이화동,8566,3939,4627
종로구,창신1동,6098,3268,2830
종로구,창신2동,9825,4996,4829
종로구,창신3동,7322,3606,3716
종로구,숭인1동,6613,3237,3376
종로구,숭인2동,9972,5008,4964
종로구,청운효자동,13090,6120,6970
종로구,혜화동,20948,9426,11522
중구,소공동,3045,1542,1503
중구,회현동,5864,3193,2671
중구,명동,3497,1557,1940
중구,필동,5054,2519,2535
중구,장충동,5628,2775,2853
중구,광희동,6221,3257,2964
중구,을지로동,2002,1207,795
중구,신당5동,10846,5312,5534
중구,황학동,13669,6607,7062
중구,중림동,13007,6534,6473
중구,신당동,9336,4570,4766
중구,다산동,15075,7303,7772
중구,약수동,17760,8386,9374
중구,청구동,14595,6952,7643
중구,동화동,11064,5316,5748
용산구,후암동,18547,9056,9491
용산구,용산2가동,11831,5820,6011
용산구,남영동,8521,5119,3402
용산구,원효로2동,14779,6944,7835
용산구,효창동,10179,4858,5321
용산구,용문동,12649,6066,6583
용산구,이촌1동,29251,13741,15510
용산구,이촌2동,9025,4254,4771
용산구,이태원1동,9086,4749,4337
용산구,이태원2동,10812,5088,5724
용산구,서빙고동,14122,6821,7301
용산구,보광동,15897,8039,7858
용산구,청파동,20715,9728,10987
용산구,원효로1동,16471,7968,8503
용산구,한강로동,19504,9520,9984
용산구,한남동,23600,11728,11872
성동구,왕십리2동,17953,8738,9215
성동구,마장동,24137,11834,12303
성동구,사근동,13630,6748,6882
성동구,행당1동,16659,8068,8591
성동구,행당2동,24748,11628,13120
성동구,응봉동,16228,7699,8529
성동구,금호1가동,15974,7641,8333
성동구,금호4가동,15283,7320,7963
성동구,성수1가1동,17331,8681,8650
성동구,성수1가2동,15084,7494,7590
성동구,성수2가1동,17979,9354,8625
성동구,성수2가3동,11725,5983,5742
성동구,송정동,11546,6131,5415
성동구,용답동,13572,7149,6423
성동구,왕십리도선동,27878,13290,14588
성동구,금호2.3가동,24299,11593,12706
성동구,옥수동,27264,12783,14481
광진구,화양동,25422,11618,13804
광진구,군자동,22142,10877,11265
광진구,중곡1동,16420,8043,8377
광진구,중곡2동,22635,10859,11776
광진구,중곡3동,17492,8650,8842
광진구,중곡4동,30561,15040,15521
광진구,능동,11867,5482,6385
광진구,구의1동,23126,11047,12079
광진구,구의2동,28032,13518,14514
광진구,구의3동,30179,14399,15780
광진구,광장동,36180,17487,18693
광진구,자양1동,24229,11662,12567
광진구,자양2동,27107,13290,13817
광진구,자양3동,29577,14247,15330
광진구,자양4동,23368,11530,11838
동대문구,회기동,13337,5951,7386
동대문구,휘경1동,16537,8008,8529
동대문구,휘경2동,25176,12401,12775
동대문구,청량리동,22035,11029,11006
동대문구,용신동,32073,16401,15672
동대문구,제기동,27630,13785,13845
동대문구,전농1동,31096,15635,15461
동대문구,전농2동,20341,9666,10675
동대문구,답십리1동,29939,14512,15427
동대문구,답십리2동,30439,14895,15544
동대문구,장안1동,39351,19628,19723
동대문구,장안2동,31930,15952,15978
동대문구,이문1동,22622,10746,11876
동대문구,이문2동,21273,10349,10924
중랑구,면목2동,26156,13076,13080
중랑구,면목4동,20237,10046,10191
중랑구,면목5동,9876,5034,4842
중랑구,면목7동,21913,10879,11034
중랑구,상봉1동,25629,12506,13123
중랑구,상봉2동,19728,9639,10089
중랑구,중화1동,21001,10334,10667
중랑구,중화2동,27994,14386,13608
중랑구,묵1동,36063,17551,18512
중랑구,묵2동,20094,9872,10222
중랑구,망우3동,18025,9022,9003
중랑구,신내1동,40738,19911,20827
중랑구,신내2동,22095,10588,11507
중랑구,면목본동,36247,18001,18246
중랑구,면목3.8동,26729,13316,13413
중랑구,망우본동,31251,15798,15453
성북구,돈암1동,16048,7496,8552
성북구,돈암2동,25076,11975,13101
성북구,안암동,17877,8677,9200
성북구,보문동,16839,8140,8699
성북구,정릉1동,19484,9328,10156
성북구,정릉2동,23974,11678,12296
성북구,정릉3동,17388,8623,8765
성북구,정릉4동,26898,13006,13892
성북구,길음1동,37263,17772,19491
성북구,길음2동,16545,8050,8495
성북구,월곡1동,27698,13399,14299
성북구,월곡2동,20571,9982,10589
성북구,장위1동,20857,10225,10632
성북구,장위2동,14207,7068,7139
성북구,장위3동,13710,6900,6810
성북구,성북동,17671,8267,9404
성북구,삼선동,26599,12723,13876
성북구,동선동,16460,6821,9639
성북구,종암동,42391,20633,21758
성북구,석관동,36558,18094,18464
강북구,번1동,19815,9806,10009
강북구,번2동,17307,8407,8900
강북구,번3동,18506,8723,9783
강북구,수유1동,21961,10849,11112
강북구,수유2동,22021,10589,11432
강북구,수유3동,24277,12079,12198
강북구,삼양동,25776,12787,12989
강북구,미아동,22987,10986,12001
강북구,송중동,29000,13986,15014
강북구,송천동,28911,14343,14568
강북구,삼각산동,33100,15899,17201
강북구,우이동,21401,10440,10961
강북구,인수동,32813,15890,16923
도봉구,쌍문1동,22528,10857,11671
도봉구,쌍문2동,20133,9783,10350
도봉구,쌍문3동,17325,8335,8990
도봉구,쌍문4동,19946,9500,10446
도봉구,방학1동,30344,15009,15335
도봉구,방학2동,21268,10725,10543
도봉구,방학3동,28846,14054,14792
도봉구,창1동,26438,12650,13788
도봉구,창2동,30723,15088,15635
도봉구,창3동,14923,7446,7477
도봉구,창4동,28034,13520,14514
도봉구,창5동,25866,12452,13414
도봉구,도봉1동,22431,11330,11101
도봉구,도봉2동,28789,14134,14655
노원구,월계1동,24044,12375,11669
노원구,월계2동,26209,12620,13589
노원구,월계3동,31904,15299,16605
노원구,공릉2동,41184,20112,21072
노원구,하계1동,29814,14425,15389
노원구,하계2동,23492,11224,12268
노원구,중계본동,26161,12822,13339
노원구,중계1동,28152,13779,14373
노원구,중계4동,21480,10427,11053
노원구,상계1동,40359,19621,20738
노원구,상계2동,21358,10516,10842
노원구,상계5동,25704,12519,13185
노원구,상계8동,24086,11615,12471
노원구,상계9동,22002,10501,11501
노원구,상계10동,16736,7717,9019
노원구,상계3.4동,25946,12910,13036
노원구,상계6.7동,34834,16201,18633
노원구,중계2.3동,37108,17261,19847
노원구,공릉1동,39256,19197,20059
은평구,녹번동,38158,18352,19806
은평구,불광1동,41048,19477,21571
은평구,갈현1동,24768,12080,12688
은평구,갈현2동,30235,14392,15843
은평구,구산동,33843,16835,17008
은평구,대조동,29784,14013,15771
은평구,응암1동,25747,12290,13457
은평구,응암2동,23882,11655,12227
은평구,신사1동,28658,13882,14776
은평구,신사2동,21998,10990,11008
은평구,증산동,16254,7986,8268
은평구,수색동,9094,4530,4564
은평구,진관동,58038,27290,30748
은평구,불광2동,29576,14407,15169
은평구,응암3동,26193,12818,13375
은평구,역촌동,48883,23231,25652
서대문구,천연동,18803,8974,9829
서대문구,홍제1동,25045,11776,13269
서대문구,홍제3동,16534,8036,8498
서대문구,홍제2동,14629,6980,7649
서대문구,홍은1동,22758,11017,11741
서대문구,홍은2동,28402,13774,14628
서대문구,남가좌1동,17029,8221,8808
서대문구,남가좌2동,25729,12324,13405
서대문구,북가좌1동,19188,9289,9899
서대문구,북가좌2동,33955,16486,17469
서대문구,충현동,18242,8845,9397
서대문구,북아현동,17607,8383,9224
서대문구,신촌동,24810,9749,15061
서대문구,연희동,41358,19764,21594
마포구,용강동,22403,10641,11762
마포구,대흥동,13776,6285,7491
마포구,염리동,13533,6339,7194
마포구,신수동,22514,10963,11551
마포구,서교동,26104,11903,14201
마포구,합정동,19175,8928,10247
마포구,망원1동,21995,10357,11638
마포구,망원2동,19270,9169,10101
마포구,연남동,17051,7937,9114
마포구,성산1동,20288,9539,10749
마포구,성산2동,41623,19204,22419
마포구,상암동,32976,15745,17231
마포구,도화동,22663,10772,11891
마포구,서강동,26240,12338,13902
마포구,공덕동,40603,19306,21297
마포구,아현동,25391,11942,13449
양천구,목1동,32111,15467,16644
양천구,목2동,31501,15393,16108
양천구,목3동,23145,11135,12010
양천구,목4동,27053,13283,13770
양천구,신월1동,21976,11229,10747
양천구,신월2동,22427,11000,11427
양천구,신월3동,16844,8886,7958
양천구,신월4동,19064,9368,9696
양천구,신월5동,15631,7735,7896
양천구,신월6동,6670,3310,3360
양천구,신월7동,21803,10701,11102
양천구,신정1동,21578,10559,11019
양천구,신정2동,20713,10125,10588
양천구,신정3동,48467,23664,24803
양천구,신정6동,25291,12314,12977
양천구,신정7동,30930,15006,15924
양천구,목5동,42943,21204,21739
양천구,신정4동,35784,17532,18252
강서구,염창동,42478,20758,21720
강서구,등촌1동,23720,11213,12507
강서구,등촌2동,21922,10844,11078
강서구,등촌3동,32715,15551,17164
강서구,화곡본동,36064,17571,18493
강서구,화곡2동,19655,9561,10094
강서구,화곡3동,22698,10884,11814
강서구,화곡4동,22175,10854,11321
강서구,화곡6동,24930,12316,12614
강서구,화곡8동,26593,12780,13813
강서구,가양1동,34199,16048,18151
강서구,가양2동,15301,7284,8017
