기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2019.3/4	합계	합계	10,025,927	4,887,068	5,138,859	1,468,146	648,586	819,560	1,461,460	645,055	816,405	6,686	3,531	3,155
2019.3/4	종로구	소계	162,860	78,523	84,337	27,394	12,156	15,238	27,181	12,034	15,147	213	122	91
2019.3/4	종로구	사직동	9,700	4,375	5,325	1,773	764	1,009	1,762	758	1,004	11	6	5
2019.3/4	종로구	삼청동	3,013	1,443	1,570	650	278	372	630	265	365	20	13	7
2019.3/4	종로구	부암동	10,525	5,002	5,523	1,754	770	984	1,747	766	981	7	4	3
2019.3/4	종로구	평창동	18,830	8,817	10,013	3,220	1,388	1,832	3,207	1,379	1,828	13	9	4
2019.3/4	종로구	무악동	8,745	4,078	4,667	1,402	595	807	1,402	595	807	-	-	-
2019.3/4	종로구	교남동	10,779	5,021	5,758	1,558	646	912	1,550	641	909	8	5	3
2019.3/4	종로구	가회동	4,487	2,090	2,397	916	376	540	909	370	539	7	6	1
2019.3/4	종로구	종로1.2.3.4가동	8,630	4,955	3,675	1,916	1,067	849	1,870	1,038	832	46	29	17
2019.3/4	종로구	종로5·6가동	5,717	3,142	2,575	1,102	525	577	1,100	525	575	2	-	2
2019.3/4	종로구	이화동	8,566	3,939	4,627	1,368	571	797	1,364	569	795	4	2	2
2019.3/4	종로구	창신1동	6,098	3,268	2,830	1,216	604	612	1,202	597	605	14	7	7
2019.3/4	종로구	창신2동	9,825	4,996	4,829	1,701	747	954	1,672	733	939	29	14	15
2019.3/4	종로구	창신3동	7,322	3,606	3,716	1,197	534	663	1,193	531	662	4	3	1
2019.3/4	종로구	숭인1동	6,613	3,237	3,376	1,167	508	659	1,162	506	656	5	2	3
2019.3/4	종로구	숭인2동	9,972	5,008	4,964	1,635	802	833	1,623	796	827	12	6	6
2019.3/4	종로구	청운효자동	13,090	6,120	6,970	2,200	915	1,285	2,176	902	1,274	24	13	11
2019.3/4	종로구	혜화동	20,948	9,426	11,522	2,619	1,066	1,553	2,612	1,063	1,549	7	3	4
2019.3/4	중구	소계	136,663	67,030	69,633	23,025	10,115	12,910	22,733	9,955	12,778	292	160	132
2019.3/4	중구	소공동	3,045	1,542	1,503	285	140	145	254	120	134	31	20	11
2019.3/4	중구	회현동	5,864	3,193	2,671	1,448	742	706	1,385	704	681	63	38	25
2019.3/4	중구	명동	3,497	1,557	1,940	732	271	461	702	256	446	30	15	15
2019.3/4	중구	필동	5,054	2,519	2,535	812	363	449	806	360	446	6	3	3
2019.3/4	중구	장충동	5,628	2,775	2,853	800	338	462	789	334	455	11	4	7
2019.3/4	중구	광희동	6,221	3,257	2,964	1,166	573	593	1,142	562	580	24	11	13
2019.3/4	중구	을지로동	2,002	1,207	795	485	278	207	475	272	203	10	6	4
2019.3/4	중구	신당5동	10,846	5,312	5,534	1,656	686	970	1,644	679	965	12	7	5
2019.3/4	중구	황학동	13,669	6,607	7,062	1,912	873	1,039	1,887	858	1,029	25	15	10
2019.3/4	중구	중림동	13,007	6,534	6,473	1,997	889	1,108	1,978	880	1,098	19	9	10
2019.3/4	중구	신당동	9,336	4,570	4,766	1,352	612	740	1,313	591	722	39	21	18
2019.3/4	중구	다산동	15,075	7,303	7,772	2,531	1,082	1,449	2,522	1,077	1,445	9	5	4
2019.3/4	중구	약수동	17,760	8,386	9,374	3,543	1,502	2,041	3,535	1,498	2,037	8	4	4
2019.3/4	중구	청구동	14,595	6,952	7,643	2,572	1,023	1,549	2,571	1,022	1,549	1	1	-
2019.3/4	중구	동화동	11,064	5,316	5,748	1,734	743	991	1,730	742	988	4	1	3
2019.3/4	용산구	소계	244,989	119,499	125,490	38,531	16,310	22,221	38,073	16,031	22,042	458	279	179
2019.3/4	용산구	후암동	18,547	9,056	9,491	2,991	1,204	1,787	2,962	1,186	1,776	29	18	11
2019.3/4	용산구	용산2가동	11,831	5,820	6,011	2,051	864	1,187	2,028	849	1,179	23	15	8
2019.3/4	용산구	남영동	8,521	5,119	3,402	1,595	938	657	1,575	928	647	20	10	10
2019.3/4	용산구	원효로2동	14,779	6,944	7,835	2,362	993	1,369	2,359	992	1,367	3	1	2
2019.3/4	용산구	효창동	10,179	4,858	5,321	1,410	579	831	1,405	575	830	5	4	1
2019.3/4	용산구	용문동	12,649	6,066	6,583	2,018	836	1,182	2,015	833	1,182	3	3	-
2019.3/4	용산구	이촌1동	29,251	13,741	15,510	4,377	1,816	2,561	4,333	1,784	2,549	44	32	12
2019.3/4	용산구	이촌2동	9,025	4,254	4,771	1,730	699	1,031	1,723	692	1,031	7	7	-
2019.3/4	용산구	이태원1동	9,086	4,749	4,337	1,569	589	980	1,535	573	962	34	16	18
2019.3/4	용산구	이태원2동	10,812	5,088	5,724	1,885	751	1,134	1,843	726	1,117	42	25	17
2019.3/4	용산구	서빙고동	14,122	6,821	7,301	2,064	844	1,220	2,032	820	1,212	32	24	8
2019.3/4	용산구	보광동	15,897	8,039	7,858	2,707	1,092	1,615	2,687	1,082	1,605	20	10	10
2019.3/4	용산구	청파동	20,715	9,728	10,987	3,288	1,349	1,939	3,264	1,339	1,925	24	10	14
2019.3/4	용산구	원효로1동	16,471	7,968	8,503	1,915	854	1,061	1,889	838	1,051	26	16	10
2019.3/4	용산구	한강로동	19,504	9,520	9,984	3,010	1,394	1,616	2,934	1,349	1,585	76	45	31
2019.3/4	용산구	한남동	23,600	11,728	11,872	3,559	1,508	2,051	3,489	1,465	2,024	70	43	27
2019.3/4	성동구	소계	311,290	152,134	159,156	43,662	19,049	24,613	43,512	18,969	24,543	150	80	70
2019.3/4	성동구	왕십리2동	17,953	8,738	9,215	2,465	1,069	1,396	2,457	1,064	1,393	8	5	3
2019.3/4	성동구	마장동	24,137	11,834	12,303	3,612	1,632	1,980	3,604	1,628	1,976	8	4	4
2019.3/4	성동구	사근동	13,630	6,748	6,882	1,451	627	824	1,445	623	822	6	4	2
2019.3/4	성동구	행당1동	16,659	8,068	8,591	2,295	1,017	1,278	2,292	1,015	1,277	3	2	1
2019.3/4	성동구	행당2동	24,748	11,628	13,120	3,537	1,501	2,036	3,534	1,500	2,034	3	1	2
2019.3/4	성동구	응봉동	16,228	7,699	8,529	2,416	1,010	1,406	2,415	1,010	1,405	1	-	1
2019.3/4	성동구	금호1가동	15,974	7,641	8,333	2,364	1,006	1,358	2,358	1,003	1,355	6	3	3
2019.3/4	성동구	금호4가동	15,283	7,320	7,963	2,195	897	1,298	2,191	895	1,296	4	2	2
2019.3/4	성동구	성수1가1동	17,331	8,681	8,650	2,061	931	1,130	2,049	925	1,124	12	6	6
2019.3/4	성동구	성수1가2동	15,084	7,494	7,590	1,968	883	1,085	1,962	881	1,081	6	2	4
2019.3/4	성동구	성수2가1동	17,979	9,354	8,625	2,704	1,230	1,474	2,690	1,221	1,469	14	9	5
2019.3/4	성동구	성수2가3동	11,725	5,983	5,742	1,750	823	927	1,740	817	923	10	6	4
2019.3/4	성동구	송정동	11,546	6,131	5,415	1,667	766	901	1,651	755	896	16	11	5
2019.3/4	성동구	용답동	13,572	7,149	6,423	2,139	973	1,166	2,118	964	1,154	21	9	12
