대여대여소명,반납대여소명,이용,이용시간(분),이용거리(M),대여대여소위도,대여대여소경도,대여대여소구명,반납대여소위도,반납대여소경도,반납대여소구명
 여의나루역 1번출구 앞, DMC산학협력연구센터 앞,1,47.0,11160.0,37.526989,126.932098,영등포구,37.575802,126.890739,마포구
 여의나루역 1번출구 앞, IFC몰,3,46.333333333333336,5853.333333333333,37.526989,126.932098,영등포구,37.526066,126.925537,영등포구
 여의나루역 1번출구 앞, KBS 앞,2,13.0,2110.0,37.526989,126.932098,영등포구,37.524665999999996,126.918022,영등포구
 여의나루역 1번출구 앞, KT앞,8,20.25,1692.5,37.526989,126.932098,영등포구,37.521908,126.918953,영등포구
 여의나루역 1번출구 앞, NH농협은행 앞,7,9.428571428571429,1262.857142857143,37.526989,126.932098,영등포구,37.522079,126.93036699999999,영등포구
 여의나루역 1번출구 앞, 광양중학교 앞,2,93.0,22180.0,37.526989,126.932098,영등포구,37.530235,127.08683,광진구
 여의나루역 1번출구 앞, 국민일보 앞,54,11.796296296296296,1680.0,37.526989,126.932098,영등포구,37.528816,126.92453,영등포구
 여의나루역 1번출구 앞, 금호사거리,2,49.0,13360.0,37.526989,126.932098,영등포구,37.548634,127.025726,성동구
 여의나루역 1번출구 앞, 남부법원검찰청 교차로,1,163.0,18770.0,37.526989,126.932098,영등포구,37.523254,126.864906,양천구
 여의나루역 1번출구 앞, 달맞이공원,1,50.0,12060.0,37.526989,126.932098,영등포구,37.542053,127.020401,성동구
 여의나루역 1번출구 앞, 당산역 10번출구 앞,1,232.0,36000.0,37.526989,126.932098,영등포구,37.533688,126.902107,영등포구
 여의나루역 1번출구 앞, 당산육갑문,4,61.75,5470.0,37.526989,126.932098,영등포구,37.535339,126.903679,영등포구
 여의나루역 1번출구 앞, 대림아파트 사거리,4,19.25,2955.0,37.526989,126.932098,영등포구,37.507641,126.92308,영등포구
 여의나루역 1번출구 앞, 대방역6번출구,6,74.66666666666667,7130.0,37.526989,126.932098,영등포구,37.513591999999996,126.92593400000001,영등포구
 여의나루역 1번출구 앞, 롯데캐슬 앞,5,9.0,1248.0,37.526989,126.932098,영등포구,37.520088,126.93236499999999,영등포구
 여의나루역 1번출구 앞, 마포역 1번출구 뒤,1,9.0,2420.0,37.526989,126.932098,영등포구,37.539936,126.945824,마포구
 여의나루역 1번출구 앞, 마포역 4번출구 뒤,4,24.0,2742.5,37.526989,126.932098,영등포구,37.539272,126.94591499999999,마포구
 여의나루역 1번출구 앞, 산업은행 앞,3,6.333333333333333,1410.0,37.526989,126.932098,영등포구,37.526264000000005,126.92050900000001,영등포구
 여의나루역 1번출구 앞, 삼부아파트1동 앞,35,2.8857142857142857,637.7142857142857,37.526989,126.932098,영등포구,37.523491,126.932899,영등포구
 여의나루역 1번출구 앞, 샛강생태공원방문자센터 앞,2,27.5,4330.0,37.526989,126.932098,영등포구,37.518963,126.92161599999999,영등포구
 여의나루역 1번출구 앞, 샛강역 1번출구 앞,1,47.0,4380.0,37.526989,126.932098,영등포구,37.517765000000004,126.92841299999999,영등포구
 여의나루역 1번출구 앞, 서강나루 공원,5,16.0,3504.0,37.526989,126.932098,영등포구,37.545284,126.931053,마포구
 여의나루역 1번출구 앞, 서강대역 2번출구 앞,1,25.0,5640.0,37.526989,126.932098,영등포구,37.552956,126.93434099999999,마포구
 여의나루역 1번출구 앞, 서교동 사거리,3,69.33333333333333,7833.333333333333,37.526989,126.932098,영등포구,37.552746,126.918617,마포구
 여의나루역 1번출구 앞, 서부화물트럭터미널 사거리,1,56.0,10350.0,37.526989,126.932098,영등포구,37.510658,126.84253700000001,양천구
 여의나루역 1번출구 앞, 서빙고동 주민센터 앞,5,95.6,10838.0,37.526989,126.932098,영등포구,37.520336,126.99426299999999,용산구
 여의나루역 1번출구 앞, 시범아파트버스정류장 옆,16,9.6875,1696.875,37.526989,126.932098,영등포구,37.520271,126.93888100000001,영등포구
 여의나루역 1번출구 앞, 신금호역 3번출구 뒤,2,50.0,14290.0,37.526989,126.932098,영등포구,37.554493,127.02021,성동구
 여의나루역 1번출구 앞, 신길삼거리(우리은행),1,20.0,2580.0,37.526989,126.932098,영등포구,37.513844,126.919357,영등포구
 여의나루역 1번출구 앞, 신성기사식당 앞,1,41.0,8270.0,37.526989,126.932098,영등포구,37.547249,126.93929299999999,마포구
 여의나루역 1번출구 앞, 신용산역 6번출구 앞,2,81.5,2835.0,37.526989,126.932098,영등포구,37.530148,126.968483,용산구
