도로명,도로폭,도로길이,교차로수,위도,경도
새문안로,40,177,0,37.5708845,126.9733308
옥인6가길,3,86,0,37.581419700000005,126.9651757
자하문로,1,29,0,37.5869804,126.9690947
삼일대로17길,9,286,0,37.5691894,126.98607439999999
사직로1길,4,50,0,37.573648299999995,126.9629479
평창31길,8,418,0,37.6118628,126.9760646
창신5라길,2,31,0,37.5743516,127.0134821
동숭4길,4,38,0,37.584016299999995,127.00494409999999
혜화로6가길,2,20,0,37.5896241,127.00098870000001
종로63길,1,27,0,37.574990899999996,127.0186635
이화장1나길,2,26,0,37.57773579999999,127.007768
창신5라길,2,9,0,37.574664,127.01363470000001
낙산성곽서길,1,15,0,37.57430170000001,127.008452
지봉로12가길,4,13,0,37.5764354,127.0167968
혜화로11길,2,22,0,37.58875,126.9986365
창경궁로26길,2,29,0,37.582117,126.99983999999999
창경궁로,2,54,0,37.5828403,126.99818049999999
숭인동1길,5,24,0,37.5765775,127.0202197
창신5다길,4,187,0,37.5748984,127.0119425
종로20길,3,131,0,37.569886,126.99270600000001
지봉로12길,3,17,0,37.5780003,127.0165332
종로62길,8,45,0,37.5732312,127.01898290000001
창경궁로33길,7,132,0,37.585692,126.99829799999999
홍지문2가길,6,159,0,37.6006445,126.9554994
우정국로,4,138,0,37.5734773,126.98230330000001
자하문로15길,3,81,0,37.5810099,126.96942990000001
창신5라길,3,66,0,37.5740128,127.01303529999998
인사동4길,3,44,0,37.5733362,126.98666000000001
자하문로,5,16,0,37.6000624,126.9601303
율곡로10길,1,48,0,37.5732762,126.992071
계동길,3,49,0,37.581754,126.9870885
통일로,5,155,0,37.571681,126.9615962
율곡로10길,1,17,0,37.5753039,126.9913795
대학로9길,2,16,0,37.5817922,127.00021129999999
종로,4,45,0,37.5729968,127.0147678
율곡로6길,2,17,0,37.57613189999999,126.9889312
종로40나길,5,15,0,37.570014,127.0060116
계동길,3,39,0,37.582080299999994,126.9869982
창경궁로16길,10,11,0,37.5740889,126.99851329999998
숭인동2길,2,16,0,37.5782342,127.02059569999999
낙산3길,8,43,0,37.5802047,127.00633640000001
새문안로5가길,9,151,0,37.572732,126.97405
통일로10길,2,9,0,37.570860499999995,126.96415800000001
창경궁로,7,67,0,37.574179799999996,126.9977733
율곡로6길,2,64,0,37.576060299999995,126.9889995
자하문로2길,1,11,0,37.5765756,126.97338729999998
평창26길,8,31,0,37.611199799999994,126.9745182
진흥로22길,2,55,0,37.60583,126.9571555
진흥로21길,3,29,0,37.6079326,126.9582134
삼청로4길,6,163,0,37.5823191,126.98182759999999
인사동4길,4,139,0,37.5732578,126.9869534
평창12길,6,37,0,37.6069152,126.96708090000001
평창20길,6,87,0,37.6108016,126.971198
평창31길,4,119,0,37.6117797,126.9762223
종로,40,76,0,37.5707348,127.0052863
사직로12길,3,8,0,37.5752477,126.9709313
평창2길,5,172,0,37.6061132,126.9636146
이화장1가길,2,23,0,37.5770516,127.00567649999999
율곡로17길,6,157,0,37.5762999,127.004778
사직로12길,3,19,0,37.5748802,126.9710814
평창34길,5,177,0,37.614321200000006,126.97578770000001
평창12길,6,213,0,37.606953999999995,126.9680585
통일로14길,8,217,0,37.575261499999996,126.95801270000001
성균관로4길,3,35,0,37.584695200000006,127.0001413
새문안로9길,3,44,0,37.5714531,126.97578190000002
통일로12길,2,17,0,37.57431679999999,126.9614436
종로,40,88,0,37.5714114,127.00801329999999
통일로12길,2,13,0,37.5738419,126.961258
종로46길,5,231,0,37.570838099999996,127.0102875
통일로10길,2,11,0,37.5706107,126.96331699999999
종로50길,5,256,0,37.570932,127.01250790000002
종로,40,52,0,37.570370399999995,126.99578799999999
창경궁로16길,7,35,0,37.5745248,126.9997078
창경궁로16길,7,65,0,37.5752961,127.0015442
창경궁로16길,7,66,0,37.5744935,126.99841029999999
낙산길,4,88,0,37.581177200000006,127.0129659
종로63가길,1,22,0,37.5753112,127.01911299999999
율곡로19길,8,50,0,37.57593,127.00588940000002
낙산길,8,69,0,37.58006629999999,127.00661529999999
삼일대로32길,12,46,0,37.575362299999995,126.9897049
창신6길,1,18,0,37.57641160000001,127.0117119
종로54길,1,15,0,37.571978,127.014698
통일로8길,3,11,0,37.5697995,126.9652351
종로48길,3,61,0,37.5716576,127.01218600000001
대학로9길,2,29,0,37.5817496,127.00068929999999
성균관로13길,6,25,0,37.5910501,126.9945088
대학로11길,4,200,0,37.582437799999994,127.00020320000002
옥인3길,5,235,0,37.5802028,126.9661326
창신6가길,1,47,0,37.5747766,127.01176869999999
통일로,6,30,0,37.5695041,126.9639269
지봉로10길,2,20,0,37.576273799999996,127.01618159999998
세검정로6길,2,15,0,37.6000292,126.96257290000001
삼일대로,1,75,0,37.5741262,126.98686040000001
필운대로13길,8,221,0,37.5846347,126.96715139999999
창의문로5길,5,639,0,37.5910372,126.963707
자하문로21길,3,19,0,37.5832552,126.96914609999999
종로11길,6,175,0,37.570963,126.98559650000001
율곡로6길,4,26,0,37.576614899999996,126.98943999999999
종로,40,89,0,37.5706896,127.0058653
창신길,2,50,0,37.575905,127.01070530000001
계동4길,3,60,0,37.5826172,126.98767450000001
혜화로6길,7,66,0,37.5893853,127.0019034
삼청로2길,6,219,0,37.5805153,126.98108500000001
종로65길,6,57,0,37.576020899999996,127.02016979999999
종로52길,2,30,0,37.57145,127.013424
옥인6가길,5,332,0,37.5807365,126.96509909999999
인사동길,6,142,0,37.5724643,126.98614180000001
종로56길,4,107,0,37.5719125,127.01619740000001
명륜3길,2,25,0,37.5888525,126.9939785
옥인6가길,3,53,0,37.58021420000001,126.96516409999998
북촌로1길,6,98,0,37.5776219,126.9841236
삼일대로17길,2,41,0,37.569383,126.98515159999998
필운대로6길,3,49,0,37.5804398,126.9693946
송월길,6,32,0,37.571524,126.96455390000001
창신길,1,26,0,37.577732700000006,127.0094399
사직로5길,4,30,0,37.574073299999995,126.96532240000002
평창길,5,59,0,37.6099331,126.9645601
청계천로,1,32,0,37.5685425,126.9903912
지봉로8길,2,76,0,37.57546729999999,127.0164075
지봉로8길,1,41,0,37.575807,127.01637859999998
혜화로16길,4,34,0,37.5908581,127.0000771
지봉로13가길,4,84,0,37.57771760000001,127.01396000000001
돈화문로6나길,4,249,0,37.5717392,126.9929997
평창30길,6,78,0,37.613574,126.9736908
율곡로27길,3,49,0,37.574623100000004,127.0067351
명륜1길,3,58,0,37.5881903,126.9950288
창경궁로34길,12,70,0,37.584179600000006,127.00073119999999
종로65가길,1,28,0,37.5756151,127.0191274
충신길,0,15,0,37.575854299999996,127.0070399
성균관로9길,5,163,0,37.588505600000005,126.99619650000001
북촌로4길,7,147,0,37.5792044,126.98595390000001
자하문로,2,128,0,37.5821242,126.97118950000001
동숭4길,2,11,0,37.5850667,127.00587009999998
낙산성곽서길,4,39,0,37.5732818,127.0078743
난계로25길,7,448,0,37.5720005,127.02099869999999
계동길,2,34,0,37.5824232,126.9867394
율곡로3길,6,456,0,37.577586100000005,126.98266409999998
혜화로6길,7,31,0,37.5871648,127.0003534
인사동3길,6,216,0,37.5717987,126.9857418
율곡로19길,8,22,0,37.5771037,127.007062
북촌로6길,4,47,0,37.580551,126.9863422
삼일대로19길,9,171,0,37.5695865,126.9867446
세검정로6가길,1,10,0,37.5998027,126.9620071
자하문로8길,3,160,0,37.5789915,126.97216110000001
평창44길,6,225,0,37.6143331,126.97861270000001
세검정로7길,2,50,0,37.6039469,126.960348
돈화문로4길,3,235,0,37.5700636,126.9935362
평창12길,5,94,0,37.607198100000005,126.96690559999999
창신10가길,2,72,0,37.5789506,127.0095521
평창34길,5,80,0,37.613597399999996,126.97664340000001
북촌로11나길,3,80,0,37.5823068,126.98269760000001
종로7길,4,26,0,37.5717728,126.9819669
세검정로9길,6,518,0,37.60483920000001,126.96014170000001
삼일대로32가길,2,17,0,37.574723299999995,126.9892038
율곡로14길,2,52,0,37.5748977,127.00341429999999
서순라길,3,22,0,37.5710872,126.99367
통일로12가길,2,30,0,37.573589299999995,126.9594619
지봉로,6,117,0,37.577406599999996,127.0150912
창경궁로,4,187,0,37.5825395,126.99844579999998
통일로12가길,3,20,0,37.573995200000006,126.9589607
백석동3길,2,44,0,37.5968174,126.9667075
창덕궁1가길,4,141,0,37.5798561,126.9881679
